Date,Open,High,Low,Close,Volume
1/5/2021,31977.04,34437.59,30221.19,33992.43,67547324782
1/4/2021,32810.95,33440.22,28722.76,31971.91,81163475344
1/3/2021,32129.41,34608.56,32052.32,32782.02,78665235202
1/2/2021,29376.46,33155.12,29091.18,32127.27,67865420765
1/1/2021,28994.01,29600.63,28803.59,29374.15,40730301359
12/31/2020,28841.57,29244.88,28201.99,29001.72,46754964848
12/30/2020,27360.09,28937.74,27360.09,28840.95,51287442704
12/29/2020,27081.81,27370.72,25987.3,27362.44,45265946774
12/28/2020,26280.82,27389.11,26207.64,27084.81,49056742893
12/27/2020,26439.37,28288.84,25922.77,26272.29,66479895605
12/26/2020,24677.02,26718.07,24522.69,26437.04,48332647295
12/25/2020,23733.57,24710.1,23463.67,24664.79,42068395846
12/24/2020,23240.2,23768.34,22777.6,23735.95,41080759713
12/23/2020,23781.97,24024.49,22802.65,23241.34,51146161904
12/22/2020,22794.04,23789.9,22430.6,23783.03,44171632681
12/21/2020,23474.46,24059.98,22159.37,22803.08,45852713981
12/20/2020,23861.77,24209.66,23147.71,23477.3,37844228422
12/19/2020,23132.87,24085.86,22826.47,23869.83,38487546580
12/18/2020,22806.8,23238.6,22399.81,23137.96,40387896275
12/17/2020,21308.35,23642.66,21234.68,22805.16,71378606374
12/16/2020,19418.82,21458.91,19298.32,21310.6,44409011479
12/15/2020,19246.92,19525.01,19079.84,19417.08,26741982541
12/14/2020,19144.49,19305.1,19012.71,19246.64,22473997681
12/13/2020,18806.77,19381.54,18734.33,19142.38,25450468637
12/12/2020,18051.32,18919.55,18046.04,18803.66,21752580802
12/11/2020,18263.93,18268.45,17619.53,18058.9,27919640985
12/10/2020,18553.3,18553.3,17957.07,18264.99,25547132265
12/9/2020,18320.88,18626.29,17935.55,18553.92,34420373071
12/8/2020,19191.53,19283.48,18269.95,18321.14,31692288756
12/7/2020,19343.13,19411.83,18931.14,19191.63,26896357742
12/6/2020,19154.18,19390.5,18897.89,19345.12,25293775714
12/5/2020,18698.39,19160.45,18590.19,19154.23,27242455064
12/4/2020,19446.97,19511.4,18697.19,18699.77,33872388058
12/3/2020,19205.93,19566.19,18925.78,19445.4,31930317405
12/2/2020,18801.74,19308.33,18347.72,19201.09,37387697139
12/1/2020,19633.77,19845.98,18321.92,18803,49633658712
